,ID,bebidas,carnes,cereales,com_rapida,dulces,frutas,lacteos,leguminosas,miscelaneos,pescado,prod_maiz,sopas,verduras,Edad,Sexo,Entidad
0,0100100104,7.0,7.0,3.5,2.0,7.79,3.0,2.0,1.0,0.0,0.0,1.0,2.5,0.0,17.0,1.0,1.0
1,0100100201,10.0,3.0,1.25,0.0,3.0,3.0,3.0,1.0,3.0,1.0,0.0,0.5,13.5,43.0,2.0,1.0
2,0100100803,2.25,2.0,3.5,0.0,1.25,7.75,3.0,1.83,0.0,0.0,0.0,2.0,8.5,20.0,2.0,1.0
3,0100100805,7.0,4.0,6.0,3.5,11.0,10.0,4.0,2.0,1.0,0.0,5.0,3.0,9.0,16.0,1.0,1.0
4,0100101004,5.0,10.0,6.0,4.0,5.0,7.0,3.0,1.0,2.5,0.0,1.0,4.0,7.5,20.0,2.0,1.0
5,0100101603,6.5,3.0,3.5,0.0,4.0,1.0,2.0,1.0,0.0,0.0,3.0,1.5,6.5,21.0,2.0,1.0
6,0100101901,5.5,3.0,2.0,0.0,0.0,4.0,1.0,1.5,2.0,0.0,2.0,0.25,10.0,59.0,2.0,1.0
7,0100102001,5.5,11.0,4.5,0.0,0.25,2.0,0.0,1.5,0.0,0.0,3.0,1.5,5.5,,,
8,0100102303,3.0,3.0,1.5,5.0,7.0,1.0,1.0,0.0,4.0,0.0,5.0,2.0,13.0,24.0,2.0,1.0
9,0100102602,4.5,5.0,3.84,0.0,1.25,3.0,2.0,1.25,0.0,0.0,0.0,3.0,11.0,48.0,2.0,1.0
10,0100102603,22.5,5.0,9.5,3.0,8.0,1.0,10.1,1.0,0.0,0.0,0.0,2.0,4.0,21.0,1.0,1.0
11,0100102802,6.9,8.25,4.0,0.0,4.6,5.0,0.0,2.0,2.0,0.0,5.0,1.5,15.41,52.0,2.0,1.0
12,0100103004,10.0,6.5,5.0,3.0,11.2,1.0,6.0,3.0,1.0,0.0,5.0,2.0,9.0,17.0,2.0,1.0
13,0200400202,13.08,7.0,3.75,2.5,13.6,3.3,9.0,1.5,5.0,0.0,1.0,2.75,10.66,43.0,2.0,2.0
14,0200400204,7.25,4.3,2.5,0.0,4.5,1.0,5.5,0.66,0.7,0.0,3.0,3.0,11.83,19.0,1.0,2.0
15,0200400301,5.16,1.0,2.0,3.0,1.25,0.5,0.0,0.0,0.0,0.0,2.0,1.25,12.16,55.0,2.0,2.0
16,0200400801,8.0,1.6400000000000001,1.5,0.0,2.0,5.0,2.0,0.0,0.25,0.0,0.0,0.5,3.75,65.0,2.0,2.0
17,0200400902,10.5,7.0,3.0,3.0,22.5,4.5,1.75,0.15,1.0,3.25,3.0,3.0,7.25,42.0,1.0,2.0
18,0200401702,9.5,9.0,3.5,6.0,5.5,1.75,1.0,3.0,0.0,1.0,2.0,2.0,7.5,31.0,1.0,2.0
19,0200401801,2.0,2.5,3.0,2.0,3.0,0.0,3.0,1.5,0.0,0.5,2.0,0.75,0.0,60.0,1.0,2.0
20,0200402001,6.0,8.0,5.0,1.0,2.0,5.5,5.0,1.5,2.0,3.0,1.0,1.0,3.0,74.0,1.0,2.0
21,0200402901,9.5,3.25,7.66,1.0,2.15,4.58,3.0,0.15,2.25,0.0,4.0,2.0,9.5,58.0,2.0,2.0
22,0300300601,4.25,2.5,2.0,0.0,1.0,0.0,6.25,2.0,1.0,1.0,0.0,2.0,3.0,52.0,1.0,3.0
23,0300301301,16.0,5.0,3.0,4.0,8.5,1.0,1.2,1.0,1.0,2.0,0.0,2.0,2.0,42.0,1.0,3.0
24,0300303501,8.25,6.5,8.5,4.0,2.0,7.0,3.25,2.5,2.0,2.0,7.0,4.0,24.5,69.0,2.0,3.0
25,0400300101,7.5,6.0,1.25,0.0,6.25,4.5,2.0,0.0,0.25,7.0,0.0,2.75,15.0,,,
26,0400300102,5.0,13.0,3.75,1.0,1.5,0.0,4.0,1.0,1.0,2.0,2.0,2.0,7.0,28.0,2.0,4.0
27,0400300205,1.5,5.0,0.0,3.0,4.6,9.0,5.66,1.1600000000000001,0.5,2.0,5.0,2.0,6.33,18.0,2.0,4.0
28,0400300601,8.25,13.0,4.0,6.0,6.0,0.0,5.0,0.0,1.25,0.0,1.0,2.0,14.5,24.0,1.0,4.0
29,0400301003,5.0,4.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,1.0,0.0,2.0,4.5,,,
30,0400301206,8.0,6.0,1.0,1.0,3.0,1.75,2.0,1.0,0.0,1.0,2.0,8.0,9.5,36.0,2.0,4.0
31,0400301303,4.0,4.0,5.75,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,2.5,13.5,,,
32,0400301902,27.5,9.0,4.0,3.0,1.6,2.0,6.0,0.0,2.0,2.0,3.0,5.0,7.0,30.0,1.0,4.0
33,0400302501,6.5,4.0,10.75,1.0,0.0,4.16,5.75,2.25,1.0,1.5,2.0,1.0,8.5,69.0,2.0,4.0
34,0400302502,5.0,3.0,2.0,0.0,0.05,1.5,1.0,1.25,0.0,0.25,1.0,3.0,6.5,30.0,2.0,4.0
35,050002,4.0,1.0,5.75,1.0,2.6,2.0,1.25,0.5,1.5,0.0,2.5,0.75,1.25,51.0,2.0,5.0
36,0500200301,3.0,6.0,3.0,1.0,1.0,9.5,1.0,1.0,0.0,0.0,0.0,3.0,5.0,53.0,2.0,5.0
37,0500200702,1.0,7.9,5.0,1.0,0.0,3.0,1.0,1.0,3.0,1.0,0.0,2.0,6.5,50.0,2.0,5.0
38,0500201701,11.25,7.0,1.5,2.0,0.0,3.0,0.25,0.5,1.5,0.0,1.0,2.5,16.0,49.0,2.0,5.0
39,0500201704,2.5,6.0,1.5,3.0,0.0,0.0,1.0,0.0,0.5,0.0,2.0,2.0,6.5,15.0,1.0,5.0
40,0500202101,4.65,3.0,3.5,0.0,1.0,3.0,3.75,1.0,0.0,2.0,0.0,1.0,0.5,60.0,1.0,5.0
41,0500202103,6.0,2.25,4.25,0.0,1.0,2.0,4.0,1.0,0.0,4.0,0.0,1.0,6.0,,,
42,0500202501,9.0,2.0,2.25,0.0,5.0,1.0,2.0,0.5,0.0,0.0,2.0,2.0,9.0,66.0,2.0,5.0
43,0500202601,9.25,11.0,16.0,5.0,10.0,10.0,2.0,6.0,2.0,3.0,8.0,4.0,10.0,59.0,1.0,5.0
44,0500202701,6.5,3.0,3.01,1.0,2.0,2.5,1.5,0.5,0.0,0.0,0.0,1.75,10.5,62.0,2.0,5.0
45,0500202901,4.5,7.0,2.75,2.0,1.0,1.0,0.0,1.5,1.0,0.0,5.0,3.5,11.5,39.0,1.0,5.0
46,0500202902,6.0,3.0,3.5,2.0,0.33,3.5,0.0,1.0,0.5,0.0,0.0,3.0,7.5,49.0,2.0,5.0
47,0502502901,1.5,5.5,5.5,0.0,3.0,7.25,2.5,2.0,0.5,0.0,1.0,2.0,9.5,75.0,1.0,5.0
48,0503500101,8.5,7.0,2.5,5.0,6.0,3.0,2.0,1.0,1.0,2.0,10.0,3.0,5.0,,,
49,0503500202,4.2,5.0,1.5,0.0,3.0,2.0,0.0,1.0,0.0,0.0,7.0,3.0,1.83,52.0,2.0,5.0
50,0503500701,2.5,6.2,1.5,0.0,2.0,3.5,5.0,1.5,0.0,0.0,7.0,1.0,5.0,39.0,2.0,5.0
51,0503500702,3.0,4.2,0.5,0.0,0.0,2.0,0.0,1.5,1.0,0.0,4.0,1.0,4.0,,,
52,0503501001,9.0,5.0,1.0,4.0,2.0,1.0,1.0,1.0,0.5,0.0,4.0,0.5,2.66,42.0,2.0,5.0
53,0503502004,26.65,8.0,5.5,5.0,14.5,6.5,10.5,1.0,3.0,0.0,10.5,2.0,12.0,17.0,1.0,5.0
54,0503502402,10.0,6.0,1.5,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,27.0,2.0,5.0
55,0503502603,2.0,4.0,3.0,0.0,8.0,0.0,2.5,0.0,0.0,0.0,5.0,4.0,2.0,18.0,2.0,5.0
56,0503502702,4.0,6.0,3.5,5.0,5.0,5.0,3.5,1.5,1.0,1.0,4.0,1.0,10.0,24.0,2.0,5.0
57,0503503203,12.5,14.5,6.0,5.0,2.0,2.0,1.0,2.0,0.0,0.5,0.0,2.09,3.5,,,
58,0503503701,4.0,4.0,2.0,2.0,2.0,6.0,2.25,2.0,0.0,0.0,0.0,2.0,1.0,42.0,2.0,5.0
59,0503503802,5.0,16.0,2.0,1.0,1.0,3.0,1.0,0.5,1.0,1.0,7.0,1.0,7.75,48.0,2.0,5.0
60,0503504301,5.0,5.5,3.0,2.0,4.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,9.0,31.0,2.0,5.0
61,0503505702,6.0,4.5,1.6600000000000001,2.0,0.0,5.0,0.0,0.5,0.0,0.0,0.0,1.0,3.0,,,
62,0601000402,6.0,11.0,5.5,7.0,6.0,9.5,3.0,1.0,1.0,0.0,5.0,2.0,8.5,20.0,1.0,6.0
63,0601001003,6.0,3.5,3.0,1.0,6.3,4.5,2.0,1.0,2.0,5.0,5.0,0.0,5.67,31.0,2.0,6.0
64,0601002201,7.0,6.0,1.0,0.0,1.0,2.0,2.0,0.33,0.0,0.0,0.0,1.0,3.0,48.0,1.0,6.0
65,0601002301,10.75,5.0,1.25,0.0,5.5,3.5,2.0,1.0,1.0,0.0,0.0,0.0,10.0,57.0,2.0,6.0
66,0601002802,12.57,11.5,7.0,4.0,4.0,6.0,4.0,5.0,2.0,1.0,0.0,1.5,10.0,24.0,1.0,6.0
67,0704000201,5.75,5.0,0.0,1.0,0.0,5.5,0.0,3.0,0.0,0.0,2.0,1.0,1.0,31.0,2.0,7.0
68,0704000301,1.0,1.0,1.0,0.0,0.0,2.7,1.0,1.0,0.0,0.0,1.0,0.0,8.0,57.0,1.0,7.0
69,0704000404,8.5,1.0,3.0,7.0,1.0,3.3,4.0,0.0,0.0,0.0,0.0,0.0,1.5,18.0,2.0,7.0
70,0704000603,13.75,20.5,12.5,1.0,17.25,16.0,8.0,2.0,1.0,2.0,6.0,3.25,11.25,21.0,1.0,7.0
71,0704000609,3.67,10.0,4.5,0.0,3.0,1.0,2.5,2.0,0.0,0.0,0.0,1.0,1.0,13.0,1.0,7.0
72,0704000801,4.0,12.0,1.0,0.0,7.0,1.0,0.0,1.75,0.0,1.0,7.0,2.0,2.0,48.0,1.0,7.0
73,0704000901,3.75,2.0,0.25,0.0,1.0,3.0,0.0,2.0,0.0,1.0,2.0,1.0,12.5,62.0,2.0,7.0
74,0704001502,16.0,4.0,3.0,0.0,4.0,3.0,3.0,1.0,0.0,0.0,5.0,2.0,1.0,71.0,1.0,7.0
75,0704001503,12.0,6.0,2.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,5.0,4.0,4.0,33.0,1.0,7.0
76,0704001902,9.0,3.0,1.0,2.0,9.0,1.5,2.0,0.0,0.0,0.0,0.0,1.0,3.5,24.0,2.0,7.0
77,0704002005,4.0,3.0,0.0,1.0,1.0,7.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,2.0,7.0
78,0704002402,9.0,8.0,4.0,0.0,6.25,1.25,4.0,1.25,0.0,0.0,7.0,1.0,0.0,22.0,1.0,7.0
79,0704002403,6.7,7.0,1.0,3.0,9.5,6.0,1.0,1.0,0.0,0.0,6.0,0.0,3.0,17.0,2.0,7.0
80,0704002502,5.5,3.0,2.0,2.0,5.0,4.0,3.0,2.25,1.0,0.0,10.0,1.0,13.0,48.0,2.0,7.0
81,0704002503,9.0,6.0,2.0,1.0,10.2,10.6,1.0,0.5,0.0,0.0,4.0,1.0,10.25,41.0,1.0,7.0
82,0704002604,5.0,4.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,13.0,1.0,7.0
83,0704002901,2.5,8.0,7.0,0.0,2.5,4.5,1.5,3.0,0.0,6.0,6.5,2.5,9.5,40.0,1.0,7.0
84,0801901201,11.83,5.5,1.25,1.0,3.0,2.0,2.25,1.0,1.0,1.0,0.0,1.5,8.0,37.0,1.0,8.0
